language,reference,prediction,corrected
ncx,"nochi tlen moaxka, ijkon ken kijtoa tlanauatili...",noche se muasca y con que inquistoga tan aguatile.,"nochi se muasca , non ne inquistoga san aguatile."
ncx,san otikijto amo mitskuejsoa tinentlakatl.,"san otiquisto amo mis cuesoa, tinen placate.","san otiquisto amo ik cuesoa, tlen placate."
ncx,nion tlen ika temiktiaj kanin telpiloyan.,nyonzenika de mikhtia kani despiloyan.,nyonzenika ne mikhtia kanin telpiloyan.
ncx,nochipa kualkan nimeua.,no chica cuarta ni me guacas.,ne chica cuarta ne ma guacas.
ncx,"nikan nimochixtok, xiteixkomaka.",2巻に持ち取っていしこまか,2巻に持ち取っていしこまか
ncx,¿akin nechchiualtis?,akin es chihuatis,"akin , chihuatis"
ncx,uan tekiuajkapa yokijto.,guante que guascapa y oquisto,"guante ne guascapa , oquisto"
ncx,"mamochiua, amo nimomojtia.","vamos chicos, vamos a ver a los mimos.","amo chicos, amo , ken , kox mimos."
ncx,ajuijyak.,"ah, hui ya.",", poui yas."
ncx,uan ijkon cirilo kuali makiseli tlen kinektok.,juan es con cirilo cuáles maquiceles ten que nectar,"juan , non cirilo cuáles maquiceles ken ne nectar"
ncx,ye amo onechtlajtlanili tamali.,"יעמו ונסטרחסן נילי, דם עלי","יעמו ונסטרחסן נילי, , עלי"
ncx,"makimiktikan, tlajko tlen iaxka makimokaui akin okinekiaya kitoktis.","maki miktikan, lahko, tlen iashka, maki mukawi, aking, okinekiaja, ketoktis.","maski miktikan, lahko, tlen iashka, maski mukawi, akin okinekiaya kitoktis."
ncx,nimoyolkuejsojtok.,nimo y olcue sohtok.,"nimo , olcue kochtok."
ncx,ye omitsnauati xia huamantla.,ḍᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗ�,ḍᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗ�
ncx,axkan opejki nitlatooka.,ας καω πέχι νητατόκα.,", καω πέχι νητατόκα."
ncx,"panolti, notoka , noijki nimomachtia itech",para no irte no toca no irte ni a mas te hayte hecho,"axa ne te ne hora ne te ne , ma te hayte hecho"
ncx,"ostotl nion okitaya, ye san otlatolojtoka.","ojo todo el mundo, ojo todo el mundo.","amo noo uel mundo, amo noo uel mundo."
ncx,san kanaj keski tlioli okikitski ika itenpil.,"sankana, kiski, tsioli, kiski, ika y tempi.","sankana, kajki, tlioli kajki, ika , tempi."
ncx,ye nochipa mitstlajtlanilia seki tamali.,y es no chipa ni misa esta en el heliase quitámalo,", , ne nochipa ne kisa estela ken uel heliase quitámalo"
ncx,"ken moesso, nimitstlajtlania xiteixkomaka.",que mo eso en mi estrategia de chiteis comarca,ne amo amo ken ma estrategia ne chiteis comarca
ncx,"panolti, tejuatsin, notoka","pa' no'lti, te juat'zin' o to'ka","ipan no'lti, te juat'zin' , itoka"
ncx,manechtsonuiuitlakan uan manechyolkixtikan.,"manesto huevo y lacá, hueván, manecho y quishti, cuán.","manesto huevo , mach, hueván, manecho , quishti, cuán."
ncx,tleka nikneki matlajyoui neka antonio.,néka nihineki matahyou néka antonio,neka nikneki matahyou neka antonio
ncx,¿nin chikiuitl non moaxka?,ninchi kewits numoashka,nochi kewits numoashka
ncx,¿machitlaj mitsyoltelinia?,ambil ini dengan klinia,amatl ik dengan klinia
ncx,amikaj monekis techchiualtis matiteiknomatikan.,"amica, muñecis, teschi, hualtis, matitei, mattei, nomatica.","amikaj muñecis, teschi, hualtis, matitei, mattei, nomatica."
ncx,yonikiluijka momauitsotsin uan onikijto ika ueyi iluitl niknekis notlaxtlauil.,"y no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no se puede hacer nada, no",", ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne se ueue hacer nika, ne"
ncx,"¿kox tiuits padua, ipatka domingo?",los costiwics para doa y para domingo,"kox costiwics axa axa , axa domingo."
ncx,yala onechitak tiankisko.,جی اللہ اُنے چیتا اختیان کس کو,", اللہ اُنے چیتا اختیان , ,"
ncx,mostla nikneki kualkan nikisas.,μου αστανοίχνες και κοκανικοί σας,μου αστανοίχνες και κοκανικοί σας
ncx,tekiua kitlaxtlauis.,te quíguac y dashlauis.,"te quíguac , dashlauis."
ncx,yikualtis nikchiuas,de cuartes,ne cuartes
ncx,"tla ijkon kichiuaskia, san ika.",taiscon y chihuacquia sanica,"taiscon , chihuacquia sanica"
ncx,panpa nikneki ximoyolyamani.,ḍᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃ�,ḍᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃ�
ncx,mamonexti moelpan.,mamoneshti muelpan,mamonexti moelpan.
ncx,mamochiua tlen moneki.,mamochewa tlen moneki,mamochiua tlen moneki
ncx,melauak nimotemakas mopatka ika noyolo.,me la aguac ni me te macas. me patca y ca no llolo.,"ma ma aguac ne ma te mach. ma ipatka , ma ne iyolo."
ncx,¡xipeua xitekipano!,"si pego, si te equipano.","se pego, se te equipano."
ncx,¿kanin ichan juan?,gany ini jangkuan.,san ik jangkuan.
ncx,ok poliui manikijto.,¡hoc poligui maniquisto!,¡hoc poliui maniquisto!
ncx,"¿kox onpa tiatika, antonio?",cosh on path de attica antonio,noso non ipati ne attica antonio
ncx,uan amo chikometsontli platajtomin.,buen amo chico me sony platas tomin,iuan amo chico ma non platas tomin
ncx,ken kijtoa amachotiyotl.,kenki estoba a machotillot,"keski estela , machotillot"
ncx,"ajsitiuits monauak, ken oniktlajtlauti.","a city with monaguac, 10 onyctlas cloudy.",", uits uits monauak, , onyctlas cloudy."
ncx,tla ika nikyolpatlaskia nekan pinokoyotl.,"laica, nikyol patlasquia, necan pinocoyot","laica, nikyol patlasquia, nekan pinocoyot"
ncx,maski ijkon moixkoyantia uan amitlaj tlanauatili kichiuas amo manechtokti ika ikualanilis.,"más que con mojcoyantía, guanamitla, glanahuatili, kichigua, amo manistocti, ica y kualanilis.","ma ne non mojcoyantía, guanamitla, glanahuatili, kichiua. amo manistocti, ika , ikualanilis."
ncx,yala okitak tiankisko.,jalan kita diankiskan.,juan kisa diankiskan.
ncx,mach moneki ijkon.,much money ki ikon.,"mach moneki , ijkon."
ncx,¿kox kuali yitikmati tlen tikneki?,koskwalei kitik mati itlentik neki,koskwalei ijtik amatl itlentik neka
ncx,"nikan nika, momauitsotsin.",nika nika moma witsonsin,"nika nika moma, witsonsin"
ncx,¡techititi ojtli!,течі тити охтлив.,течі тити охтлив.
ncx,amo okachi nechpaktia tlakuali tlen nikan kitemakaj.,"amo o kachin ech paktia, tla kualit le nikan ki te makach.","amo , kanin itech paktia, tla kuali ne nikan , te mach."
ncx,mostla nitekipanos.,mostlan y te equipanos.,"mostla , te equipanos."
ncx,"xikita, pinotl; —¡tlamatini tekiua!","chiquita pinot, la matina te quigua.",chiquita pinotl ma matina te quigua.
ncx,"tla nimikis, amo nechuetskiliskej ijkon.",la nimiquis amonechi wetskiliske hihkon.,ma nimiquis amonechi wetskiliske ijkon.
ncx,toneui notsonteko.,don nehuina chanteco,non nehuina chanteco
ncx,ok otekipanojtoka maski omokokoaya.,"οκ, οτε κυπάνω χτώκα, μάσκι, ομοκοκώαλια.",", οτε κυπάνω χτώκα, μάσκι, ομοκοκώαλια."
ncx,astatl oyolpakik uan okilui yaskia.,aztat o yol pa'ki gwan o'ki lu yas'kiya.,"astatl , kox kajki ipan ok , yaskia."
ncx,juan poui huamantla,juan powy guamantla,juan poui huamantla
ncx,juan motasneki ken se temachtiani.,"juan matasnecki, quince de machitiani.","juan matasnecki, quince ne machitiani."
ncx,ayakmitlaj nitlanankilis.,"ayak mit lahat, nitlanan kilis.","axa ik lahat, nitlanan kilis."
ncx,kuali kijtoa “tlajko kilo nakatl”.,ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ �,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"
ncx,¡xikita ken motlajtolnamikij!,chiquita que en motla hasta el namiki.,chiquita ne ken mostla hasta uel namiki.
ncx,inauak iyolo. ijkon kijtoa.,"inahuac y yolo, y es conquistó.","inauak , iyolo. , , conquistó."
ncx,kipaleuia akin teiknomati uan akin kiknomatij.,"que paligüía a quien te ignomati, o a quien te ignomati.","ne paligüía , quien te ignomati, , , quien te ignomati."
ncx,yala okinmitak tiankisko.,jala okin mi takt yaan kisko.,yala akin ma taxi ipan kistok
ncx,yala okinmitakej tiankisko.,ya la hoquin mi taques teanquisco,ma ma hoquin ma taques teanquisco
ncx,nikan nikkajteua chikiuitl.,nika nika te wa qiki wid,nika nika te ma ik ik
ncx,amo nikneki timokauas nikan san moselti.,"amónic, necky, timokaguas, ni kanzan mozelti.","amónic, necky, timokauas ne kanaj moselti."
ncx,amo omikik.,アモオミキック,アモオミキック
ncx,axkan ne niyolpakis.,asegúrate de que no se despliegue.,asegúrate ne ne ne se despliegue.
ncx,juan itoka akin motlalijtok.,juan y toca a quien motorista,"juan , hora , quien motorista"
ncx,chokotsin amo okochki yala.,"chocot sin amor, coche quiyala.","chocot nin amo, nochi quiyala."
ncx,yala onamechitak tiankisko.,jala onam ichi hita tiankisko.,yala onpa ichan hora tiankisko.
ncx,¿kenijki nias moaltepe?,¿quién es que niás multiple?,"¿quién , ne nias multiple?"
ncx,"makalaki, nikan teixpan tikonkakiskej.",අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අ,"අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි අපි ,"
ncx,"panolti, notoka , nikuelita noso nechpaktia",panolting no toca ni cuelita no son expectía.,"panolti, ne hora ne cuelita ne non expectía."
ncx,"yoltetik pinotl, amo moma, yej moyolo tiktentia.",¡yoletic peanuts! ¡amo momma! ¡yes muy holotictentía!,"¡yoletic peanuts! amo moma, ye ma holotictentía!"
ncx,¿kanin mochan?,"kanimo, ciam.","kanimo, ciam."
ncx,expan notomin uan ayakmitlaj niktoktis antonio.,ḍᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗ�,ḍᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗ�
ncx,¿ken otikmatki oniajsiko?,අපි අපි කින්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්,අපි අපි කින්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්
ncx,mokal tlatlatok.,bokal tatatok,mokal tatatok
ncx,yimiak yonikijto itech non tlamantli.,y de chino entlamanse.,", ne tsino entlamanse."
ncx,ye onechmachti nin tlakuiali.,γιονεσμαστεί νιντλακουί αλεύ.,γιονεσμαστεί νιντλακουί αλεύ.
ncx,mitsnamiki mamitsmiktikan.,mitznami ki ma mitzmihtikam,"mitznami , ma mitzmihtikam"
ncx,uan ijkon sepanian uelis yolpakiskej.,"juan es concepañán, wellisio al paquisque.","juan , concepañán, wellisio , paquisque."
ncx,mach. amikaj tekiua nikan chiaualpan uelis kipatlas tlanauatili.,"mjj, amika teki wahini kanchia walpangu weli skipatlas tlanawatili.","mjj, amikaj seki wahini kanchia walpangu nesi kipatlas tlanauatili."
ncx,¿ken timopanoltia?,¿qué último panaltiá?,¿qué último panaltiá?
ncx,"niman, san omokak, san miktok.",nimang sa ngomokak sa miktok.,niman ma ngomokak ma miktok.
ncx,nin tlen tlamochijtok kistok itech itlanauatiluan chiaualpan.,¡nin clant la motriz toque y tech idla náhuatlúan! ¡ciao al pa!,"nin clant ma motriz toque , itech ika náhuatlúan! ¡ciao , ipan"
ncx,¿tlen timochijtika?,tlentimo chistica,tlentimo chistica
ncx,onikilui tlen tlamochijtok ika neka pinotl.,onni külvist läendlamud sistogikane ega pinot.,onpa külvist läendlamud sistogikane axa pinotl
ncx,mostla noso uiptla uelis te mitstliokoltiskej uan mitsuetskiliskej.,más la no soy y la hueliste a mí te lo cortís que o a mí tu te quiles que,"ma ma ne kox , ma hueliste , ma te , cortís ne , , ma te te quiles ne"
ncx,"amitlaj uelis tikchiuas, bonifacio.",amit la huelis te kchi was bonifacio.,akin ma uelis te kochi. ma bonifacio.
ncx,"cirilo, mitsmakaskej expa.","sirilo, mitzmakaske, ešpa.","cirilo, mitsmakaskej expa."
ncx,"amitlaj, san nikan nika","amitla, san nika nika.",amitla san nika ika.
ncx,"maya omochijchika, amitlaj okikuak.","maya, o moche, chica, amita, ha okekwa.","maya , mach, chica, amikaj ma okekwa."
ncx,"notoka , nitekipanoa itech",no toca ni te equipanó a haitech.,"ne hora ne te equipanó , haitech."
ncx,"neka pinotl kipias nonakayo, noesso uan noomiouian.","no hay capinos que piensan en acallo no es eso, bueno, me voy a","ne ma capinos ne piensan ken acallo ne , amo, bueno, ma kox ,"
ncx,tsino,sin now.,nin non
ncx,notoka pedro.,"na toca, pedro.","ma moma, pedro."
ncx,maski sejse nintej platajtomin mochiuaskia chikuase.,más quise hacer en la plata también. muchísimas gracias.,ma quise hacer ken ma plata también. muchísimas gracias.
ncx,melauak. ¿tikonpia tlen ika tiktamachiuas nakatl?,מלעהוק תיקומפי עד לנגי קטיקטמצ'י וזנקת,"מלעהוק תיקומפי , לנגי קטיקטמצ'י וזנקת"
ncx,"panolti, noyolikni","panolti, no yolikni.","panolti, ne yolikni."
ncx,ye kijtos tlen moneki mamochiua.,y es que esto es lémonos que vamos a ir,", , ne iesso , lémonos ne amo , ik"
ncx,"panolti, notoka, ¿tlen timochiua?",panolti non tocca sentimocigua,"panolti, non tocca sentimocigua"
ncx,non mach kemanian ijkon kichiuaj.,no me hachiqué manianguis con que jiwa.,ne ma hachiqué manianguis non ne ika.
ncx,¿tikmati tiajkuis?,"tek matete ya, kus?","te matete ye, kisa"
ncx,"maski nitlejkosneki ipan nin kuauitl, amo niueleti.","maskini tlehkos neki ipanning kawit, amunigweli ti.","maski tlehkos neka ipanning kawit, amunigweli ik"
ncx,¿moaxka nin chikiuitl?,बूश्कन निचिके विट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्,बूश्कन निचिके विट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
ncx,amo nikneltoka tlen onechilui.,අපින්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න,අපින්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න
ncx,amo kixikoaj uan mosokiotiaj.,amokishiko awa moso kiyotia.,amokishiko axa noso kiyotia.
ncx,"xikkaki, pinotl.",しきかき、ぴのつ,しきかき、ぴのつ
ncx,amo nikmati kanin yas.,amunikmatikani jas,amunikmatikani juan
ncx,amikaj kichiuas tlen kuali.,āmika kitchi wastlain kwale.,amikaj kitchi wastlain kuali.
ncx,namejuan nannechnankiliskej.,"no me juan, no es tan clisque.","ne ma juan ne , san clisque."
ncx,"yika, tiktekilis inakayo.","jika, tiktik lisi na kajo.","nika, ijtik kisa ma amo."
ncx,okajsikej kuajtla.,ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ ὀ �,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"
ncx,panpa tla neka pinotl tlajijtika nechtekilia.,අපින්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න,අපින්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න
ncx,"san yolik, amo nikchijtikisas.",sanjoli āmonik čikti ki sas.,"sanjoli āmonik čikti , yas."
ncx,"amo nikajsikamati, oksepa techonilui.","amónicas y camati, oxepate chonilwi.","amónicas , camati, oxepate chonilwi."
ncx,¿tlenon nin tlakuali?,", నినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినిన",", నినినినినినినినినినినినినినినినినినినినినినినినినినినినినినినిన"
ncx,te tiuelis tikchiuas,30 huesos de chivas,", huesos ne chivas"
ncx,nimitstlasojkamatilia otitechpaleuiko,ni mis lazócamatiliya o titetxpalehuico.,"ne ik lazócamatiliya , titetxpalehuico."
ncx,moneki se taxi,monekis de taxi.,monekis ne taxi
ncx,amo sapanoa ximokouejso,vamos a panoar shimukueso.,"amo , panpa shimukueso."
ncx,"¡tlen! machitlaj tepostli, amo.",¡sle! ¡machete la que te poste! ¡amor!,¡tlen! ¡machete ma ne te poste! ¡amor!
ncx,ma nikita san onpa iluikak.,m'a ni kita sanom pa il wikak,ma ne kisa san ma ik ika
ncx,uelpatio onikixtlaui uan nikneki.,o el patio o niquiche de agua y un necneque.,", uel ipati , niquiche ne axa , uan necneque."
ncx,"amo, amo nechpaktia","amo, amo, no es que te hagas.","amo, amo, ne , ne te hagas."
ncx,xamo,shammo,shammo
ncx,¿ken tikita tla...?,kente kita't lahat.,ken kita't lahat.
ncx,¿tikmati...?,take my t.,taxi ma te
ncx,"xikmatikan, nokniuan, nankinekij nankiyolyamaniskej nikanka’ pinotl.","si comente no tiene que ir a la mañana, no tiene que ir a la noche.","se comente ne tlen ne ik , ma mañana, ne tlen ne ik , ma kochi."
ncx,"kuali, momauitsotsin","ḍʰāli, mōmā wēt sōdūt zin.","ḍʰāli, mōmā wēt sōdūt nin"
ncx,mach nikitilia,mach nikitilia,mach nikitilia
ncx,¿uelis tikchiuaskej inuan oksekimej?,"¿huelis tikti wasque, inuan okseki-me?","¿uelis tikita wasque, inuan oksekimej?"
ncx,koxamo,koshamur,koshamur
ncx,nimotekipachojtok,nímoteký pačok tok.,nímoteký pačok itoka
ncx,xikchijto,식칙도,식칙도
ncx,¿tlen motokatsin?,τλεν μοτοκατσιν,τλεν μοτοκατσιν
ncx,¿tlen tlamochiua?,terima kasih sudah menonton!,tekiua kanin sudah menonton!
